  NO       S1       S2            SCORE
   1        1       14       718.197709
   2        6       31       716.984540
   3       10       20       712.124560
   4       30       42       710.911390
   5       24       25       709.698221
   6       40       51       703.625071
   7        8       13       702.411902
   8        3        4       696.338752
   9       19       22       692.691941
  10        0        2       691.478772
  11      371     4066       325.927744
  12      424     4838       321.067764
  13      243     3368       321.067764
  14      652      768       319.854595
  15     2759     3165       319.854595
  16       48     1332       318.641425
  17     2171     3582       317.428256
  18      529     1480       317.428256
  19      955     2627       317.428256
  20      666     3355       317.420953
